Source,Target,Weight,Sim
1,168,30,0.975
4,56,13,0.9740000000000001
149,244,12,1.0
198,244,4,1.0
1,244,16,1.0
48,244,10,1.0
25,244,17,0.998
232,244,6,0.9359999999999999
185,244,41,1.0
34,244,15,0.9990000000000001
229,244,4,0.932
239,244,15,1.0
238,244,24,1.0
260,244,8,0.9990000000000001
170,244,11,1.0
18,244,38,1.0
196,244,30,1.0
91,244,4,1.0
237,244,8,1.0
233,244,5,1.0
183,244,18,1.0
149,198,3,1.0
1,149,16,1.0
48,149,2,1.0
25,149,9,0.998
149,232,3,0.9359999999999999
185,149,15,1.0
34,149,10,1.0
149,229,4,0.932
149,239,3,1.0
149,238,26,0.9990000000000001
260,149,9,0.9990000000000001
149,170,15,1.0
18,149,17,1.0
149,196,12,1.0
91,149,11,1.0
149,237,11,1.0
149,233,2,1.0
183,149,15,1.0
1,198,3,1.0
48,198,2,1.0
25,198,4,0.998
198,232,3,0.9359999999999999
185,198,2,1.0
198,229,2,0.932
198,239,5,1.0
260,198,2,0.9990000000000001
196,198,5,1.0
91,198,3,1.0
198,237,3,1.0
183,198,5,1.0
1,48,7,1.0
1,25,20,0.9990000000000001
1,232,5,0.943
1,185,32,1.0
1,34,15,1.0
1,229,9,0.9390000000000001
1,239,5,1.0
1,238,18,0.9990000000000001
1,260,5,1.0
1,170,22,1.0
1,18,22,1.0
1,196,31,1.0
1,91,5,1.0
1,237,16,1.0
1,233,6,1.0
183,1,16,1.0
25,48,6,0.998
48,232,3,0.9359999999999999
185,48,3,1.0
34,48,3,0.9990000000000001
48,229,4,0.932
48,239,2,1.0
48,238,4,0.9990000000000001
260,48,4,1.0
48,170,2,1.0
18,48,11,1.0
48,196,5,1.0
48,91,3,1.0
48,237,7,1.0
48,233,3,1.0
183,48,14,1.0
25,232,11,0.956
185,25,13,0.998
25,34,25,0.9990000000000001
25,229,11,0.953
25,239,8,0.998
25,238,10,0.997
260,25,9,0.9990000000000001
25,170,21,0.998
18,25,22,0.998
25,196,23,0.998
25,91,14,0.998
25,237,17,0.998
25,233,11,0.998
183,25,12,0.998
185,232,6,0.9359999999999999
34,232,3,0.946
229,232,5,0.995
232,239,3,0.9359999999999999
232,238,2,0.935
260,232,4,0.943
170,232,8,0.9359999999999999
18,232,7,0.9359999999999999
196,232,11,0.9359999999999999
91,232,3,0.9359999999999999
232,237,4,0.9359999999999999
232,233,2,0.9359999999999999
183,232,10,0.9359999999999999
185,34,16,1.0
185,229,5,0.932
185,239,12,1.0
185,238,37,0.9990000000000001
185,260,6,0.9990000000000001
185,170,16,1.0
185,18,38,1.0
185,196,36,1.0
185,91,4,1.0
185,237,18,1.0
185,233,4,1.0
183,185,16,1.0
34,229,6,0.943
34,239,7,1.0
34,238,17,0.9990000000000001
260,34,10,1.0
34,170,21,1.0
18,34,16,1.0
34,196,8,1.0
34,91,7,0.9990000000000001
34,237,15,1.0
34,233,5,1.0
183,34,11,1.0
229,239,3,0.932
229,238,3,0.9309999999999999
170,229,3,0.932
18,229,5,0.932
196,229,15,0.932
91,229,4,0.932
229,237,7,0.932
229,233,8,0.932
183,229,15,0.932
238,239,4,0.9990000000000001
260,239,2,0.9990000000000001
170,239,2,1.0
18,239,7,1.0
196,239,17,1.0
91,239,6,1.0
237,239,4,1.0
233,239,3,1.0
183,239,11,1.0
260,238,4,0.998
170,238,16,0.9990000000000001
18,238,25,0.9990000000000001
196,238,12,0.9990000000000001
91,238,5,0.9990000000000001
237,238,19,0.9990000000000001
233,238,4,0.9990000000000001
183,238,8,0.9990000000000001
260,170,8,0.9990000000000001
260,18,10,0.9990000000000001
260,196,4,0.9990000000000001
260,91,6,0.9990000000000001
260,237,5,0.9990000000000001
260,233,4,0.9990000000000001
183,260,12,0.9990000000000001
18,170,17,1.0
170,196,25,1.0
91,170,6,1.0
170,237,24,1.0
170,233,6,1.0
183,170,14,1.0
18,196,20,1.0
18,91,6,1.0
18,237,12,1.0
18,233,7,1.0
183,18,17,1.0
91,196,18,1.0
196,237,22,1.0
196,233,10,1.0
183,196,29,1.0
91,237,5,1.0
183,91,16,1.0
233,237,5,1.0
183,237,8,1.0
183,233,7,1.0
34,236,20,1.0
236,237,9,1.0
149,236,13,1.0
1,236,25,1.0
25,236,8,0.9990000000000001
229,236,4,0.9359999999999999
1,251,32,1.0
236,251,56,1.0
238,251,36,0.9990000000000001
168,91,5,0.97
185,251,46,1.0
185,236,49,1.0
168,149,14,0.971
168,236,27,0.973
170,251,16,1.0
170,236,15,1.0
236,238,41,0.9990000000000001
183,251,6,1.0
183,236,18,1.0
1,122,8,1.0
168,239,14,0.971
168,196,26,0.971
168,60,24,0.909
168,237,11,0.971
168,185,49,0.971
168,251,36,0.971
168,170,22,0.971
196,236,28,1.0
196,251,20,1.0
122,18,18,1.0
122,185,12,1.0
122,237,10,1.0
236,244,46,1.0
244,251,43,1.0
168,34,4,0.977
168,25,18,0.982
122,251,14,1.0
122,236,8,1.0
18,236,36,1.0
34,251,14,1.0
122,238,15,0.9990000000000001
122,260,3,0.9990000000000001
122,34,8,0.9990000000000001
25,251,7,0.998
122,244,8,1.0
183,168,8,0.971
60,229,3,0.965
239,251,11,1.0
236,239,21,1.0
18,251,25,1.0
168,238,11,0.97
149,251,15,1.0
122,239,4,1.0
122,168,19,0.971
137,144,2,1.0
144,227,2,1.0
144,33,2,1.0
144,17,2,1.0
463,144,2,0.9990000000000001
315,220,2,1.0
315,257,2,1.0
137,315,2,1.0
315,227,2,1.0
315,33,2,1.0
315,17,2,1.0
463,315,2,0.998
315,267,2,0.9940000000000001
220,257,2,1.0
137,220,2,1.0
220,227,2,1.0
220,33,2,1.0
220,17,2,1.0
463,220,2,0.9990000000000001
220,267,2,0.9940000000000001
137,257,2,1.0
227,257,2,1.0
257,33,2,1.0
257,17,2,1.0
463,257,2,0.9990000000000001
257,267,4,0.9940000000000001
257,3,2,1.0
137,227,2,1.0
137,33,2,1.0
137,17,3,1.0
463,137,3,0.9990000000000001
137,267,2,0.9940000000000001
227,33,2,1.0
227,17,2,1.0
463,227,2,0.9990000000000001
227,267,2,0.9940000000000001
17,33,2,1.0
463,33,2,0.9990000000000001
267,33,2,0.9940000000000001
3,33,2,1.0
463,17,3,0.9990000000000001
267,17,2,0.9940000000000001
463,267,2,0.993
3,20,5,1.0
240,20,11,1.0
240,3,7,1.0
205,218,5,1.0
205,3,2,1.0
171,257,5,1.0
205,20,3,1.0
160,240,6,1.0
205,240,4,1.0
240,265,2,1.0
160,205,3,1.0
160,265,2,1.0
205,265,3,1.0
33,309,2,1.0
4,194,3,0.953
91,236,5,1.0
226,4,2,0.983
226,56,17,0.9890000000000001
168,48,2,0.971
122,170,11,1.0
232,236,3,0.9390000000000001
187,257,6,1.0
241,257,10,1.0
187,241,15,1.0
241,98,15,1.0
257,98,5,1.0
84,147,4,1.0
339,465,2,0.996
137,309,2,1.0
463,309,3,0.9990000000000001
17,309,2,1.0
8,255,25,1.0
8,192,22,1.0
192,255,21,1.0
169,26,37,1.0
8,169,19,1.0
169,192,13,1.0
169,255,26,1.0
8,26,20,1.0
192,26,20,1.0
26,255,36,1.0
169,197,14,1.0
197,26,16,1.0
8,197,13,1.0
192,197,9,1.0
197,255,10,1.0
9,38,2,1.0
160,9,6,1.0
136,102,2,1.0
136,219,2,1.0
136,179,2,0.997
136,137,2,1.0
136,240,5,1.0
136,147,3,1.0
136,223,2,1.0
136,9,2,1.0
136,207,2,1.0
137,102,2,1.0
240,102,2,1.0
223,102,2,1.0
179,240,4,0.997
179,9,2,0.997
179,207,2,0.997
137,240,2,1.0
137,223,2,1.0
147,240,4,1.0
223,240,4,1.0
240,9,3,1.0
207,240,3,1.0
147,207,2,1.0
223,9,4,1.0
207,223,4,1.0
207,9,4,1.0
144,9,4,1.0
179,250,4,0.997
160,207,2,1.0
138,257,6,1.0
257,10,2,1.0
138,10,2,1.0
138,98,7,1.0
10,98,5,1.0
241,10,3,1.0
187,10,3,1.0
187,98,14,1.0
84,187,2,1.0
147,187,7,1.0
84,98,2,1.0
147,98,8,1.0
84,241,2,1.0
147,241,11,1.0
147,10,3,1.0
10,87,2,1.0
160,10,2,1.0
16,82,233,1.0
240,267,2,0.9940000000000001
240,257,2,1.0
220,240,2,1.0
240,33,2,1.0
241,267,2,0.9940000000000001
138,267,9,0.9940000000000001
136,241,2,1.0
136,138,2,1.0
241,24,2,1.0
138,241,5,1.0
168,18,29,0.971
168,244,19,0.971
183,122,8,1.0
226,194,9,0.963
168,232,2,0.982
233,236,2,1.0
122,196,21,1.0
122,48,2,1.0
122,232,3,0.9359999999999999
260,236,4,1.0
144,20,2,1.0
205,33,7,1.0
201,205,10,1.0
20,33,2,1.0
136,20,4,1.0
144,240,2,1.0
173,23,6,1.0
122,25,8,0.998
237,251,4,1.0
218,240,4,1.0
580,318,2,0.968
262,33,6,1.0
205,262,11,1.0
214,33,3,1.0
188,205,2,1.0
218,33,3,1.0
160,218,2,1.0
241,35,2,1.0
136,35,3,1.0
207,35,2,1.0
35,103,2,1.0
207,43,2,1.0
48,236,2,1.0
49,55,225,0.96
215,51,8,1.0
52,79,319,0.983
56,194,12,0.991
231,61,96,0.902
231,59,97,0.902
59,61,185,1.0
60,232,2,0.9540000000000001
122,229,6,0.932
66,70,173,1.0
63,70,183,1.0
68,70,183,1.0
65,70,165,0.987
63,66,179,1.0
66,68,175,1.0
65,66,164,0.987
63,68,179,1.0
63,65,170,0.987
65,68,171,0.987
64,67,206,1.0
67,71,7,0.9009999999999999
64,71,14,0.9009999999999999
72,73,56,0.9990000000000001
74,76,321,1.0
75,76,336,1.0
74,75,334,1.0
81,119,95,0.982
81,80,95,0.982
80,119,97,1.0
206,83,24,0.943
84,265,2,1.0
257,265,4,1.0
187,265,5,1.0
265,98,5,1.0
147,265,2,1.0
241,265,6,1.0
92,108,386,1.0
86,108,387,1.0
108,110,383,1.0
108,109,384,1.0
86,92,384,1.0
92,110,385,1.0
92,109,384,1.0
86,110,383,1.0
86,109,384,1.0
109,110,386,1.0
89,180,9,1.0
89,227,2,1.0
264,89,4,1.0
89,166,6,1.0
89,144,2,1.0
93,99,503,1.0
94,95,116,1.0
267,98,3,0.9940000000000001
138,171,4,1.0
171,98,6,1.0
138,147,3,1.0
138,187,8,1.0
147,257,2,1.0
211,98,2,1.0
171,187,2,1.0
171,241,8,1.0
171,265,3,1.0
171,205,2,1.0
205,241,3,1.0
101,191,11,0.985
121,190,48,1.0
122,149,10,1.0
122,233,3,1.0
125,126,378,1.0
124,125,371,1.0
124,126,384,1.0
129,130,2,1.0
146,132,2,0.9990000000000001
136,187,6,1.0
137,262,3,1.0
214,262,4,1.0
138,214,2,1.0
262,267,7,0.9940000000000001
138,262,6,1.0
171,267,5,0.9940000000000001
147,171,2,1.0
187,262,4,1.0
250,262,3,1.0
187,250,3,1.0
138,250,2,1.0
164,245,290,0.996
164,182,285,0.966
142,200,30,0.982
163,200,34,1.0
142,163,129,0.982
182,245,324,0.9840000000000001
142,252,18,0.993
164,254,163,0.955
245,254,184,0.976
182,254,224,0.9990000000000001
164,252,74,0.943
245,252,74,0.914
662,532,2,0.996
144,166,5,1.0
144,214,2,1.0
144,205,2,1.0
144,160,3,1.0
144,250,3,1.0
145,208,2,1.0
147,247,3,1.0
154,162,310,0.997
156,160,2,1.0
165,187,2,1.0
166,180,4,1.0
166,240,2,1.0
264,166,6,1.0
166,227,2,1.0
166,201,5,1.0
179,218,2,0.997
166,262,2,1.0
168,260,2,0.976
171,240,2,1.0
188,214,2,1.0
179,262,4,0.997
179,205,4,0.997
240,262,3,1.0
188,250,2,1.0
188,262,5,1.0
193,215,2,1.0
200,252,12,0.9540000000000001
201,267,9,0.9940000000000001
205,267,9,0.9940000000000001
201,262,4,1.0
262,265,2,1.0
